                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.63141,                0.50665,                 1.0707,                0.94439,                      1,                  0.995,                0.93257,                0.50419,                0.52493,                0.96129,               0.043454,              0.0024538,              0.0024538
                     60,                0.71336,                0.51946,                 1.1101,                0.94439,                      1,                  0.995,                0.93257,                0.50419,                0.52493,                0.96129,               0.042436,               0.002436,               0.002436
                     61,                0.52659,                 0.5286,                 1.0406,                0.94439,                      1,                  0.995,                0.93257,                0.50419,                0.52493,                0.96129,               0.041416,              0.0024162,              0.0024162
                     62,                0.62932,                0.48962,                 1.1676,                0.94439,                      1,                  0.995,                0.93257,                0.50419,                0.52493,                0.96129,               0.040394,              0.0023944,              0.0023944
                     63,                0.58246,                 0.4185,                0.98102,                0.94439,                      1,                  0.995,                0.93257,                0.50419,                0.52493,                0.96129,               0.039371,              0.0023707,              0.0023707
                     64,                0.49443,                 0.4231,                0.94585,                0.95347,                      1,                  0.995,                0.90168,                0.52434,                0.47313,                0.96624,               0.038345,               0.002345,               0.002345
                     65,                0.52678,                0.40843,                 1.0276,                0.95347,                      1,                  0.995,                0.90168,                0.52434,                0.47313,                0.96624,               0.037317,              0.0023172,              0.0023172
                     66,                 0.5312,                0.58617,                 1.0952,                0.95347,                      1,                  0.995,                0.90168,                0.52434,                0.47313,                0.96624,               0.036288,              0.0022876,              0.0022876
                     67,                0.51127,                0.56418,                  1.064,                0.95347,                      1,                  0.995,                0.90168,                0.52434,                0.47313,                0.96624,               0.035256,              0.0022559,              0.0022559
                     68,                0.51352,                0.48647,                 1.1073,                0.95347,                      1,                  0.995,                0.90168,                0.52434,                0.47313,                0.96624,               0.034222,              0.0022222,              0.0022222
                     69,                  0.425,                0.47491,                0.95821,                0.95347,                      1,                  0.995,                0.90168,                0.52434,                0.47313,                0.96624,               0.033187,              0.0021866,              0.0021866
                     70,                0.54834,                 0.6288,                 1.1185,                0.98084,                      1,                  0.995,                0.86632,                0.54236,                0.38641,                0.97283,               0.032149,               0.002149,               0.002149
                     71,                0.45352,                0.37942,                0.95904,                0.98084,                      1,                  0.995,                0.86632,                0.54236,                0.38641,                0.97283,               0.031109,              0.0021094,              0.0021094
                     72,                0.65063,                0.50296,                 1.0881,                0.98084,                      1,                  0.995,                0.86632,                0.54236,                0.38641,                0.97283,               0.030068,              0.0020678,              0.0020678
                     73,                0.74208,                0.61063,                 1.2947,                0.98084,                      1,                  0.995,                0.86632,                0.54236,                0.38641,                0.97283,               0.029024,              0.0020243,              0.0020243
                     74,                0.64155,                0.72503,                 1.1232,                0.98084,                      1,                  0.995,                0.86632,                0.54236,                0.38641,                0.97283,               0.027979,              0.0019788,              0.0019788
                     75,                 0.6672,                0.55245,                 1.0162,                0.98084,                      1,                  0.995,                0.86632,                0.54236,                0.38641,                0.97283,               0.026931,              0.0019313,              0.0019313
                     76,                0.61805,                0.47579,                 1.0761,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,               0.025882,              0.0018818,              0.0018818
                     77,                0.55261,                0.49909,                 1.0885,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,                0.02483,              0.0018303,              0.0018303
                     78,                0.58434,                0.42559,                  1.124,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,               0.023777,              0.0017768,              0.0017768
                     79,                0.74554,                0.54529,                 1.1417,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,               0.022721,              0.0017214,              0.0017214
                     80,                0.64976,                0.53346,                 1.2071,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,               0.021664,               0.001664,               0.001664
                     81,                0.59117,                0.49185,                 1.1201,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,               0.020605,              0.0016046,              0.0016046
                     82,                0.58163,                0.46826,                0.98313,                0.99103,                      1,                  0.995,                 0.9017,                 0.5716,                0.40879,                0.98174,               0.019543,              0.0015432,              0.0015432
                     83,                0.54221,                0.51248,                  1.041,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,                0.01848,              0.0014799,              0.0014799
                     84,                0.46735,                0.48662,                 1.0257,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,               0.017415,              0.0014146,              0.0014146
                     85,                0.55755,                0.38531,                 1.0069,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,               0.016347,              0.0013473,              0.0013473
                     86,                0.55774,                0.46618,                 1.1133,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,               0.015278,               0.001278,               0.001278
                     87,                0.60387,                0.45991,                 1.0211,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,               0.014207,              0.0012067,              0.0012067
                     88,                0.40013,                0.57808,                 1.0256,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,               0.013133,              0.0011334,              0.0011334
                     89,                0.76072,                0.64808,                 1.3233,                 0.9903,                      1,                  0.995,                0.87054,                0.57803,                0.37137,                0.98627,               0.012058,              0.0010582,              0.0010582
                     90,                0.54401,                0.36436,                0.98483,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,               0.010981,               0.000981,               0.000981
                     91,                0.83905,                0.55092,                 1.3888,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0099018,             0.00090181,             0.00090181
                     92,                0.62484,                0.40641,                 1.0165,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0088206,             0.00082064,             0.00082064
                     93,                0.87756,                0.49574,                 1.1921,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0077375,             0.00073749,             0.00073749
                     94,                0.42628,                0.47339,                 1.0095,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0066524,             0.00065236,             0.00065236
                     95,                0.55349,                0.45034,                 1.0052,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0055653,             0.00056525,             0.00056525
                     96,                0.43149,                0.45824,                0.97815,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0044762,             0.00047616,             0.00047616
                     97,                0.66068,                0.48534,                 1.2218,                0.98798,                      1,                  0.995,                0.87056,                0.56741,                0.34094,                0.98309,              0.0033851,             0.00038509,             0.00038509
                     98,                0.63632,                0.42179,                 1.2311,                0.98871,                      1,                  0.995,                0.88293,                0.55683,                0.33207,                0.98044,               0.002292,             0.00029204,             0.00029204
                     99,                0.53292,                0.44216,                 1.1054,                0.98871,                      1,                  0.995,                0.88293,                0.55683,                0.33207,                0.98044,               0.001197,             0.00019701,             0.00019701
